full_text,Keyword,Predicted,Predicted Label,ID
keadilan harus ditegakkan tidak ada tawarmenawar bagi reformasipolri hukum berat pelanggar ham,ReformasiPolri,0,Negative,50
turut berdukacita mendalam bagi keluarga yang ditinggalkan reformasipolri,ReformasiPolri,2,Positive,51
maripahami impunitas melanggengkan penyiksaan dan kekerasan polisi impunitas dan tidak adanya upaya reformasi polri berbasis ham melanggengkan praktik penyiksaan kekerasan serta penggunaan kekuatan berlebih oleh kepolisian reformasipolri,ReformasiPolri,0,Negative,52
kalau kita cermati sungguh sungguh sebenarnya tidak melakukan tindakan apapun dalam mengatasi krisis kepercayaan rakyat kepada pemerintah yang sangat akut ini kecuali memanggil sejumlah manula ke istana dan malah memberi penghargaan pada polisi reformasipolri ruuperampasanaset,ReformasiPolri,0,Negative,53
berarti kekerasan dan anarkisme polisi selama ini mendapatkan restu negara begitu kan mentally retarded presiden polisipembunuh reformasipolri,ReformasiPolri,0,Negative,54
lebih semarang polisi berlaku kejam siksa mahasiswa amplifier tahanan physical education ada yang muntah darah reformasipolri reformasipolisi,ReformasiPolri,0,Negative,55
kaum perusuh pembakar amplifier penjarah itu memang digerakan tiba tiba datang lemparkan bro molotov yang sudah disiapkan lalu kabur hilang mereka bukan mahswa bukan buruh bukan pendemo reformasipolri reformasipolisi adilijokowiamannegeri,ReformasiPolri,0,Negative,56
kenapa harus reformasipolri terlalu banyak alasan mendasar yang kecil kecil seperti ini banyak sekali jenisnya gelapkan motor orang lain hanya dihukum pakai helm merah bukankah ini sudah pidana apalagi aparat 2x lebih berat seperti hukuman pramuka telat baris saja payaah,ReformasiPolri,0,Negative,57
ketua bem perjuangkan mahasiswa yang masih ditahan polisi karena demo saat komisi dpr datang ke polda do it yourself juga lantang teriakan reformasipolri reformasipolisi,ReformasiPolri,1,Neutral,58
harus berapa nyawa lagi yang harus berkorban demi kekhilafan aparatmu mbah wo affan sudah dilindas rheza sudah dipukul andika sudah ditendang kini iko menyusul selamat jalan teman reformasipolri,ReformasiPolri,0,Negative,59
afan kurniawan adalah simbol rakyat kecil yang tertindas oleh sistem jika pemerintah abai krisis bisa berubah jadi kerusuhan besar saksikan analisis lengkap di video kami reformasipolri suararakyat anakbangsa,ReformasiPolri,1,Neutral,60
banyak yang menduga sabotase diamdiam bisa terjadi dari orang dekat prabowo sendiri krisis beras pajak mencekik hingga kasus afan semua berpotensi melemahkan pemerintahannya politikindonesia reformasipolri,ReformasiPolri,0,Negative,61
demo amplifier agustus memuncak rakyat marah karena krisis ekonomi pajak naik amplifier kelangkaan beras kematian afan kurniawan driver ojol jadi titik application programming interface yang menyulut emosi kolektif reformasipolri afankurniawan,ReformasiPolri,1,Neutral,62
afan kurniawan bukan sekadar korban dia simbol kemarahan rakyat polisi arogan harus diusut polri wajib direformasi prabowo harus berani bersihbersih atau sabotase akan melemahkan pemerintahannya sendiri reformasipolri krisisindonesia suararakyat,ReformasiPolri,0,Negative,63
krisis beras pajak naik rakyat marah kematian afan kurniawan jadi titik application programming interface dpr amplifier pejabat jangan arogan polri wajib dirombak intelijen harus ungkap provokator indonesia butuh ketegasan amplifier empati keadilanuntukrakyat reformasipolri anakbangsa,ReformasiPolri,1,Neutral,64
demo rakyat memuncak pasca kematian afan kurniawan publik menuntut reformasi polri total bukan sekadar janji jika prabowo tidak berani rotasi besarbesaran potensi kerusuhan makin besar reformasipolri demoindonesia afankurniawan,ReformasiPolri,0,Negative,65
reformasipolri agar polri lebih baik dan benar,ReformasiPolri,1,Neutral,66
ini kemana pada saat demo ketahuan kan ormas pada sebagai alat kekuasaan ormas demokrattolaktunjangandpr reformasipolri,ReformasiPolri,0,Negative,67
inilah polisi indonesia reformasipolri,ReformasiPolri,1,Neutral,68
aparat tidak terkendali reformasipolri reformasipolisi,ReformasiPolri,0,Negative,69
seperti ini mau berlanjut reformasipolri reformasipolisi,ReformasiPolri,1,Neutral,70
sejauh ini polisi sudah di demo general publik ojol mahasiswa ambulans punya some shame fuckers reformasipolri acab,ReformasiPolri,1,Neutral,71
ditabrak dan dilindas kakak bukan tertabrak reformasipolri,ReformasiPolri,0,Negative,72
no itu sudah intelligence intelligence provokator kaos hitam pakai helm bawa bawa pentungan memang aparat itu jobdesc nya mukulin rakyat kalau ngamanin rakyat apa bawa senjata rakyat itu hanya bawa badan doang acab reformasipolri reformasitni,ReformasiPolri,0,Negative,73
usut tuntas amplifier berhenti kebrutalan polisi rakyat bukan musuh reformasipolri reformasipolisi,ReformasiPolri,0,Negative,74
yang protes itu rakyatmu bapak yang membiayai hidupmu dan orang di kanankirimu itu seperti bisa hidup tanpa rakyat saja reformasipolri,ReformasiPolri,0,Negative,75
izin sayang sayang aku sms message svt be there soon day6 ampteam aku sibuk sama negaraku dulu ya sayang resetindonesia reformasidpr reformasipolri,ReformasiPolri,1,Neutral,76
yth presiden aksi terakhir menelan nyawa wni demi keadilan amplifier kepercayaan publik kami mohon bebaskan peserta demo yang ditahan ganti kapolri amplifier evaluasi institusi hukum berat brimob batalkan pajak yang memberatkan ganti menkeu reformasipolri tolakpajak,ReformasiPolri,1,Neutral,77
primawan dwiki kami catat nama dan mukamu acab reformasipolri,ReformasiPolri,1,Neutral,78
hari ini diaspora berlin bergerak resetindonesia berlinbergerak reformasipolri hiya ada yang jualan batagor,ReformasiPolri,1,Neutral,79
perjuangan rakyat sejatinya tidak pernah kalah karena suarasuara lantang yang mengutuk penindasan masih terdengar tetaplah teguh kawanku sungguh perjuangan kita sudah benar tetap saling menjaga antar warga karena kita hanya memiliki kita bubarkandpr reformasipolri,ReformasiPolri,2,Positive,80
forum advokasi ugm berdiri bersama keluarga korban bersama paralytic burug yang ditindas dan bersama seluruh rakyat yang suaranya hendak dibungkam kami bersuara karena diam berarti bersekutu dengan penindasan justiceforaffan hentikanrepresifitasnegara reformasipolri,ReformasiPolri,0,Negative,81
bubarkandpr reformasipolri kalian tidak bisa seenak nya sama rakyat,ReformasiPolri,0,Negative,82
pemilu ulang reformasipolri reformasidpr pemiluulang,ReformasiPolri,1,Neutral,83
mestinya pecat presiden reformasipolri reformasidpr pemiluulang,ReformasiPolri,0,Negative,84
pada akhirnya yang bikin paling mengusik seluruh lapisan adalah uang memang you uang bukan main powernya reformasiparlemen reformasipolri,ReformasiPolri,0,Negative,85
kalau lihat mukanya doang seperti orang baik ternyata memang jahat turun reformasipolri,ReformasiPolri,0,Negative,86
sudah di ijinkan tembak di tempat bangun tidur lihat berita ini mau di bawa ke mana negeri ini rakyat selalu jadi tumbal keserakahan paralytic pejabat dan penguasa reformasipolri reformasipolri negeriparabedebah negeriparabedebah,ReformasiPolri,0,Negative,87
istighfar sama kepada saat ini sehat sehat untuk teman teman yang turun ke jalan reformasidpr reformasipolri,ReformasiPolri,2,Positive,88
mereka memang hanya ingin perang dengan rakyat hanya itu hasrat mereka reformasipolri indonesiareset wargajagawarga acab,ReformasiPolri,0,Negative,89
polri superbody perlu direformasi reformasipolri hatihatikamumulaiberpikir,ReformasiPolri,1,Neutral,90
gila segininya buat melawan rakyat sendiri reformasi polisi termasuk perubahan pemahaman bahwa mereka itu publik layan bukan security force reformasipolri defundthepolice defundpolri,ReformasiPolri,0,Negative,91
tidak ada yang pantas mati atas peluru yang diperintahi kecuali stop it pemberi perintah sendiri reformasiparlemen reformasipolri acab1312,ReformasiPolri,0,Negative,92
aparat seperti begini otaknya dimana jika karena ditendang terus ditabrak truk bagaimana reformasipolri reformasipolri,ReformasiPolri,0,Negative,93
waspada temanteman stop it prabowo sama sigit sudah berani mengeluarkan perintah tembak massa aksi tinggal something or someone good cah reformasipolri polisipembunuhrakyat dprri,ReformasiPolri,0,Negative,94
kebohongan ke publik jadi modus mereka di berbagai kasus ini di rapat resmi dpr reformasipolri,ReformasiPolri,0,Negative,95
cukup copotkapolri reformasipolri hapus kenaikan pajak dan batalkan tunjangan dpr keadaan kembali kondusif,ReformasiPolri,1,Neutral,96
sudahlah bapak tidak usah bereksperimen cukup copotkapolri reformasipolri hapus kenaikan pajak dan hapus tunjangan dpr keadaan kembali kondusif,ReformasiPolri,0,Negative,97
sudahlah bapak tidak usah bereksperimen cukup copotkapolri reformasipolri dan hapus tunjangan dpr keadaan kembali kondusif,ReformasiPolri,0,Negative,98
tanggal september aksi kamisan kaltim bersama alliasi mahakam akan mengadakan aksi blacken dprd kaltim halal bihalal di masjid islamic center pada pukul wib kerumunan akan bergerak menuju dprd kalimantan timur starcraft  kaltimfolks reformasipolri bubarkandpr,ReformasiPolri,1,Neutral,99
sudah cukup bapak berbagai eksperimen untuk meredam demonstrasi cukup copotkapolrilistyosigit reformasipolri batalkan pemberian tunjangan dpr batalkan semua kebijakan yang memeras rakyat,ReformasiPolri,0,Negative,100
rakyat menuntut copot kapolri reformasi polri bangun institusi yang benarbenar melayani bukan membunuh rakyat jika tidak negara ini sedang menggadaikan legitimasi konstitusinya reformasipolri copotkapolri savedemokrasi,ReformasiPolri,0,Negative,101
hanya reformasipolri copotkapolri situasi kondusif aman,ReformasiPolri,1,Neutral,102
rombak institusinya reformasipolri reformasidpr resetindonesia,ReformasiPolri,1,Neutral,103
reformasi polri reformasipolri,ReformasiPolri,1,Neutral,104
kita lanjut ke polrestabes surabaya bebaskan teman kami more information gabung aksi pesan ignorant arekgerak kiss arekgerak acab reformasipolri resetindonesia,ReformasiPolri,1,Neutral,105
kebrutakan aparat yang sudah berkali berkali dan terutama then terakhir yang seolah kebal hukum makin kesini makin arogan kejadian sekarang rakyat marah batas kesabaranya sudah pecah presiden harus tegas dan jelas kebijakanya reformasipolri reformasidpr,ReformasiPolri,0,Negative,106
aku kecewa dengan bapak yang mengguyur dengan kenaikan gaji dan tunjangan saat efisiensi dan rakyat sulit cari uang beras mahal pajak meninggi sulut cari kerja pengangguran marak reformasipolri reformasidpr turunkankapolri pergi tunjangan pensiun dpr,ReformasiPolri,0,Negative,107
sial brother sudah buat peluru tajam you gilakk reformasidpr reformasipolri dpranjing polisipembunuh acab1312 demo,ReformasiPolri,0,Negative,108
rakyat di sini berjuang sambil direpresi anggota dpr yang bikin ulah malah pada kabur ke luar negeri kurang bangsat dan bajingan apa mereka ini bubarkandprri bubarkandpr reformasipolri turunkanprabowogibran,ReformasiPolri,0,Negative,109
polda metro jaya sabtu agustus reformasipolri copotkapolri,ReformasiPolri,1,Neutral,110
bapak prabowo segera ke dpr wujudkan kedamaian amplifier kesejahteraan rakyat tuntaskan tuntutan mahasiswa dari organisasi perintahkan kapolri tangkap ahmad sahroni sekarang juga indonesiagelap reformasipolri tindaktegas,ReformasiPolri,1,Neutral,111
panggilan kepada seluruh warga sipil surabaya kami hadir membersamai aksi reformasi polri sabtu polda jatim more information gabung aksi pesan ignorant arekgerak kiss arekgerak atau hubungi aku acab reformasipolri resetindonesia,ReformasiPolri,1,Neutral,112
juga cabuthentikan tunjangan pensiun reformasipolri reformasidpr,ReformasiPolri,1,Neutral,113
alkisah di negara yang konon rasis dan tidak pancasila mereka lebih paham bagaimana cara meminta maaf dan berbenah diri ketika melakukan kesalahan sedang di negara yang pancasila dan mengerti adat ketimuran malah tidak tahu bagaimana cara meminta maaf reformasipolri,ReformasiPolri,0,Negative,114
reformasidpr reformasipolri kalau bingung mundur saja boyfriend over shoulder,ReformasiPolri,0,Negative,115
sudah booking tiket kny di effects sudirman hari ini tapi yasudah lah gapapa uangku melayang daripada nyawa melayang digebukin polisi mending main robloks reformasipolri reformasidpr indonesiagelap polisipembunuh,ReformasiPolri,0,Negative,116
dan untuk halhal yang banyak memberi luka dan kecewa diamdiam ada secercah harapan makanya mereka meneriakkan satu kata lawan indonesiagelap bubarkandprsontoloyo reformasipolri,ReformasiPolri,0,Negative,117
segera sahkan uu perampasan aset reformasipolri reformasidpr,ReformasiPolri,1,Neutral,118
alkisah di negara yang konon rasis dan tidak pancasila lebih paham bagaimana cara meminta maaf dan berbenah diri ketika melakukan kesalahan sedang di negara yang konon sangat pancasila dan mengerti adat ketimuran malah tidak tahu bagaimana cara meminta maaf reformasipolri,ReformasiPolri,0,Negative,119
hanya dengan reformasipolri copotkapolri semua kembali aman,ReformasiPolri,1,Neutral,120
saatnya copot kapolri bapak presidenprabowo reformasipolri polisipembunuh keamanan,ReformasiPolri,0,Negative,121
dead on arrival seorang demonstran sebelum huru hara chaos reformasipolri demo dprbubar,ReformasiPolri,0,Negative,122
pertanyaan rakyat berani tidak dipecat reformasipolri,ReformasiPolri,1,Neutral,123
dprd makasar halte busway sentral senen reformasipolri makasar senen jakarta,ReformasiPolri,1,Neutral,124
kembalikan kepercayaan kami reformasipolri reformasipolri,ReformasiPolri,1,Neutral,125
darurat kepercayaan kepada institusi dan kepolisian reformasipolri,ReformasiPolri,1,Neutral,126
minimal s1 lah buat jadi polisi reformasipolri,ReformasiPolri,1,Neutral,127
akankah ada gelombang yang lebih besar lagi dprdmakassar reformasipolri bubarkandpr,ReformasiPolri,1,Neutral,128
inti permasalahan dari demo adalah kekecewaan rakyat atas pemerintah atas kebijakan kenaikan pajak kenaikan tunjangan dpr sedangkan rakyat diperas dengan pajak koruptor dapat penghagaan dan jabatan tindakan represif aparat copotkapolri reformasipolri,ReformasiPolri,0,Negative,129
sumpah ini lho reformasipolri,ReformasiPolri,0,Negative,130
uang pajak yang mencekik rakyat di pakai buat makan aparat brutal yang membunuh rakyat nya sendiri luar biasa anak buah reformasipolri reformasidpr,ReformasiPolri,0,Negative,131
update teman teman muda bergerak masih membersamai masyarakat tinggal something or someone good semua perjuangan masih panjang indonesiagelap reformasipolri,ReformasiPolri,2,Positive,132
setuju reformasipolri reformasidpr,ReformasiPolri,1,Neutral,133
kenapa harus demo bubarkandpr reformasipolri adilijokowi gulingkanoligarki turunkanprabowogibran indonesiagalap panggilandarurat,ReformasiPolri,1,Neutral,134
negara sedang tidak baikbaik saja bapak mesti evaluasi paralytic pembisik paralytic pembantu pemerintahan dan segera ambil langkah strategis untuk menjawab kegelisahan banyak orang banyak hal ditutupi dari bapak presiden savereformasi reformasipolri indonesiabersatu,ReformasiPolri,0,Negative,135
indonesia semua permasalahan ini tidak akan selesai kalau seandainya elit politik kita tetap sama mau bubarkandpr turunkan prabowo atau reformasipolri dan terjadi reformasijilid reformasijilid sama saja kalau partai tetap isi elit nya sama sumber masalahnya disitu,ReformasiPolri,0,Negative,136
pelakunya harus diproses pidana bukan kode etik copotkapolri reformasipolri,ReformasiPolri,0,Negative,137
kalau kasus ini hanya berhenti klarifikasi kita kirim pesan berbahaya nyawa sipil dianggap kesalahan teknis tapi kalau hukum ditegakkan tegas amplifier transparan polri justru makin kuat di mata rakyat tidak boleh ada affan lain di jalanan keadilanuntukaffan reformasipolri,ReformasiPolri,2,Positive,138
ini bukan soal antipolisi kita ingin polisi yang profesional dihormati karena melindungi rakyat bukan ditakuti karena merasa kebal hukum keadilan untuk affan adalah ujian negara hukum aparat tunduk pada hukum atau hukum tunduk pada aparat keadilanuntukaffan reformasipolri,ReformasiPolri,2,Positive,139
apa yang harus dilakukan proses pidana jalan bukan hanya sidang etik rekonstruksi terbuka audit rantai komando amplifier cek kendaraan kompensasi keluarga korban hentikan rantis tembus kerumunan sampai standard operating procedure diperbaiki keadilanuntukaffan reformasipolri hukumuntuksemua,ReformasiPolri,1,Neutral,140
jangan hanya salahkan sopir perkap bilang rantai komando ikut tanggung jawab kalau ada perintah di balik kejadian ini audit siapa memerintah apa jangan berhenti di istilah oknum ini soal sistem amplifier kendali komando keadilanuntukaffan reformasipolri,ReformasiPolri,0,Negative,141
uu lalu lintas pasal amplifier sopir yang lalai atau membahayakan sampai timbul korban meninggal bisa dipenjara tahun aturan ini berlaku buat siapa pun di jalan termasuk sopir rantis jadi ini bukan sekadar urusan propam reformasipolri hukumuntuksemua,ReformasiPolri,1,Neutral,142
melajukan rantis di area padat warga jelas tidak lolos tes perlu amplifier proporsional standard operating procedure tegas pakai kekuatan mematikan hanya kalau ada ancaman nyata ke nyawa bukan buat mengurai massa biasa apalagi sampai melindas orang yang tidak mengancam siapa pun reformasipolri,ReformasiPolri,0,Negative,143
tapi benar polisi punya diskresi uu pasal tapi diskresi bukan tiket bebas bertindak ada aturannya perkap bilang semua tindakan harus legal perlu proporsional dan bisa dipertanggungjawabkan keadilanuntukaffan reformasipolri hukumuntuksemua,ReformasiPolri,1,Neutral,144
mobil hasil dari uang rakyat digunakan untuk membunuh rakyat justiceforaffan reformasipolri,ReformasiPolri,0,Negative,145
hanya dengan copotkapolri dan reformasipolri,ReformasiPolri,1,Neutral,146
bacot puan evaluasi apa buat ini sudah kekerasan tersruktur masiv dan korban sudah berjatuhan dari kanjuruhan fpi terakhir ojol mau berapa nyawa lagi yang jatuh hanya sekedar evaluasi tuntaskan reformasipolri,ReformasiPolri,0,Negative,149
hanya dgb reformasipolri copotkapolri semua aman,ReformasiPolri,1,Neutral,150
kapolri itu harusnya mengimani hukum kasih sebagaimana dia adalah kristiani tapi anak buahnya ngelindes rakyat persis di depan gereja biadab reformasipolri,ReformasiPolri,0,Negative,151
situasi terkindang reformasipolri,ReformasiPolri,1,Neutral,152
aksi solidaritas reformasipolri,ReformasiPolri,1,Neutral,153
apakah ini benar repost rencana busuk dpr reformasidpr reformasipolri,ReformasiPolri,1,Neutral,154
tidak ada aparat yang bisa dipercaya tentara itu bukan teman kita pada dasarnya mereka adalah mitra yang ada dibawah paralytic tikus berdasi orang yang sedang santai melihat penindasan di depan mata demokrasitanpaanarki demoburuh reformasipolri bubarkandpr polisipembunuhrakyat,ReformasiPolri,0,Negative,155
stres orang orang pada stres reformasipolri,ReformasiPolri,0,Negative,156
diam kamu wok reformasiparlemen reformasipolri acab1312,ReformasiPolri,1,Neutral,157
pembunuh pamtas diteriaki pembunuh reformasipolri resetindonesia,ReformasiPolri,0,Negative,158
diam ditindas bergerak digilas rakyat dipajakin uangnya untuk menggaji dan membeli peralatan mereka you allah kenapa kami terlahir dari sistem negara yang bobrok ini copotkapolri reformasipolri,ReformasiPolri,0,Negative,159
hey you kita maksimalkan kekuatan rakyat yang diremehkan negara selama ini solidarity forever polisipembunuhrakyat reformasipolri,ReformasiPolri,2,Positive,160
hey you hey you terus kita gaungkan kemarahan dan solidaritas rakyat itu nyata bukan omonomon polisipembunuhrakyat reformasipolri bubarkandpr,ReformasiPolri,0,Negative,161
anggota brimob ditahan usai rantis melindas driver ojol affan kurniawan publik menuntut sidang etik cepat amplifier ptdh kepercayaan pada polri dipertaruhkan mampukah institusi ini buktikan keberpihakan pada keadilan affankurniawan brimob reformasipolri keadilanuntukaffan,ReformasiPolri,1,Neutral,162
brutalitas polisi menghadapi aksi demonstran telah menewaskan affan kurniawan kasus ini harus diusut tuntas dan kekerasan aparat terhadap warga perlu segera diakhiri polisipembunuhrakyat hentikanbrutalitasaparat reformasipolri cwi,ReformasiPolri,0,Negative,163
