row_index,text,entity,role,ID
56,nyawa berkorban kekhilafan aparatmu mbah wo affan dilindas rheza dipukul andika ditendang iko menyusul selamat jalan teman reformasipolri,rheza,PER,59
56,nyawa berkorban kekhilafan aparatmu mbah wo affan dilindas rheza dipukul andika ditendang iko menyusul selamat jalan teman reformasipolri,andika,PER,59
56,nyawa berkorban kekhilafan aparatmu mbah wo affan dilindas rheza dipukul andika ditendang iko menyusul selamat jalan teman reformasipolri,iko,PER,59
57,afan kurniawan simbol rakyat tertindas sistem pemerintah abai krisis berubah kerusuhan saksikan analisis lengkap video reformasipolri suararakyat anakbangsa,afan kurniawan,PER,60
58,menduga sabotase diamdiam orang prabowo krisis beras pajak mencekik afan berpotensi melemahkan pemerintahannya politikindonesia reformasipolri,prabowo,PER,61
58,menduga sabotase diamdiam orang prabowo krisis beras pajak mencekik afan berpotensi melemahkan pemerintahannya politikindonesia reformasipolri,afan,PER,61
59,demo amplifier agustus memuncak rakyat marah krisis ekonomi pajak amplifier kelangkaan beras kematian afan kurniawan driver ojol titik application programming interface menyulut emosi kolektif reformasipolri afankurniawan,afan kurniawan,PER,62
59,demo amplifier agustus memuncak rakyat marah krisis ekonomi pajak amplifier kelangkaan beras kematian afan kurniawan driver ojol titik application programming interface menyulut emosi kolektif reformasipolri afankurniawan,afankurniawan,PER,62
60,afan kurniawan korban simbol kemarahan rakyat polisi arogan diusut polri wajib direformasi prabowo berani bersihbersih sabotase melemahkan pemerintahannya reformasipolri krisisindonesia suararakyat,afan kurniawan,PER,63
60,afan kurniawan korban simbol kemarahan rakyat polisi arogan diusut polri wajib direformasi prabowo berani bersihbersih sabotase melemahkan pemerintahannya reformasipolri krisisindonesia suararakyat,prabowo,PER,63
61,krisis beras pajak rakyat marah kematian afan kurniawan titik application programming interface dpr amplifier pejabat arogan polri wajib dirombak intelijen provokator indonesia butuh ketegasan amplifier empati keadilanuntukrakyat reformasipolri anakbangsa,afan kurniawan,PER,64
62,demo rakyat memuncak pasca kematian afan kurniawan publik menuntut reformasi polri total janji prabowo berani rotasi besarbesaran potensi kerusuhan reformasipolri demoindonesia afankurniawan,afan kurniawan,PER,65
62,demo rakyat memuncak pasca kematian afan kurniawan publik menuntut reformasi polri total janji prabowo berani rotasi besarbesaran potensi kerusuhan reformasipolri demoindonesia afankurniawan,prabowo,PER,65
62,demo rakyat memuncak pasca kematian afan kurniawan publik menuntut reformasi polri total janji prabowo berani rotasi besarbesaran potensi kerusuhan reformasipolri demoindonesia afankurniawan,afankurniawan,PER,65
74,primawan dwiki catat nama mukamu acab reformasipolri,primawan dwiki,PER,78
77,forum advokasi ugm berdiri keluarga korban paralytic burug ditindas rakyat suaranya dibungkam bersuara diam bersekutu penindasan justiceforaffan hentikanrepresifitasnegara reformasipolri,forum advokasi ugm,ORG,81
85,perang rakyat hasrat reformasipolri indonesiareset wargajagawarga acab,acab,PER,89
87,gila segininya melawan rakyat reformasi polisi perubahan pemahaman publik layan security force reformasipolri defundthepolice defundpolri,security force reformasipolri defundthepolice defundpolri,ORG,91
90,waspada temanteman stop it prabowo sigit berani mengeluarkan perintah tembak massa aksi tinggal something or someone good cah reformasipolri polisipembunuhrakyat dprri,prabowo sigit,PER,94
105,rakyat berjuang direpresi anggota dpr bikin ulah kabur negeri bangsat bajingan bubarkandprri bubarkandpr reformasipolri turunkanprabowogibran,##abowogibran,PER,109
107,prabowo dpr wujudkan kedamaian amplifier kesejahteraan rakyat tuntaskan tuntutan mahasiswa organisasi perintahkan kapolri tangkap ahmad sahroni indonesiagelap reformasipolri tindaktegas,prabowo dpr,PER,111
107,prabowo dpr wujudkan kedamaian amplifier kesejahteraan rakyat tuntaskan tuntutan mahasiswa organisasi perintahkan kapolri tangkap ahmad sahroni indonesiagelap reformasipolri tindaktegas,ahmad sahroni,PER,111
129,demo bubarkandpr reformasipolri adilijokowi gulingkanoligarki turunkanprabowogibran indonesiagalap panggilandarurat,adilijokowi,PER,134
134,antipolisi polisi profesional dihormati melindungi rakyat ditakuti kebal hukum keadilan affan ujian negara hukum aparat tunduk hukum hukum tunduk aparat keadilanuntukaffan reformasipolri,affan,PER,139
140,mobil hasil uang rakyat membunuh rakyat justiceforaffan reformasipolri,justiceforaffan,PER,145
150,pembunuh pamtas diteriaki pembunuh reformasipolri resetindonesia,pamtas,PER,158
154,anggota brimob ditahan rantis melindas driver ojol affan kurniawan publik menuntut sidang etik cepat amplifier ptdh kepercayaan polri dipertaruhkan institusi buktikan keberpihakan keadilan affankurniawan brimob reformasipolri keadilanuntukaffan,affan kurniawan,PER,162
154,anggota brimob ditahan rantis melindas driver ojol affan kurniawan publik menuntut sidang etik cepat amplifier ptdh kepercayaan polri dipertaruhkan institusi buktikan keberpihakan keadilan affankurniawan brimob reformasipolri keadilanuntukaffan,affankurniawan,PER,162
154,anggota brimob ditahan rantis melindas driver ojol affan kurniawan publik menuntut sidang etik cepat amplifier ptdh kepercayaan polri dipertaruhkan institusi buktikan keberpihakan keadilan affankurniawan brimob reformasipolri keadilanuntukaffan,##affan,PER,162
155,brutalitas polisi menghadapi aksi demonstran menewaskan affan kurniawan diusut tuntas kekerasan aparat warga polisipembunuhrakyat hentikanbrutalitasaparat reformasipolri cwi,affan kurniawan,PER,163
163,hangeul beda konteks reformasipolri indonesiagelap reformasidpr ripdemocracy,hangeul,PER,172
186,kesal lihat kondisi negara aksi tanggal bantu dead on arrival woro woro rakyat berjuang menuntut hugs and kisses negara korban pelakunya perpanjangan tangan negara acab reformasipolri,woro woro,PER,196
190,ojol gugur dilindas ban aparat nyawa angka tragedi insiden reformasipolri,ojol,PER,200
195,baca laporan pengendalian terkendali selengkapnya website kontras reformasipolri,kontras reformasipolri,ORG,205
204,rocky gerung bilang reshuffle bahaya bowo kestabilan negara polisipembunuh resetindonesia,rocky gerung,PER,214
211,hasil pengeluaran brunei rabu result selamat pemenang siapwd resetindonesia bbcprovokator pondphuwinfancon,resetindonesia,ORG,221
221,ibuprofen teddy boti membesarkan mulyono lupa gunanya mengidolakan polisipembunuh resetindonesia,teddy boti,PER,232
221,ibuprofen teddy boti membesarkan mulyono lupa gunanya mengidolakan polisipembunuh resetindonesia,mulyono,PER,232
222,laugh move siapsiap kalah ferry irwandi polisipembunuh resetindonesia dprbebannegara,ferry irwandi,PER,233
224,hasil pengeluaran singapore rabu result selamat pemenang siapwd resetindonesia bbcprovokator pondphuwinfancon,resetindonesia,ORG,235
232,siber dipimpin boomer onno purbo percaya polisipembunuh resetindonesia,boomer onno purbo,PER,243
238,ancaman judol diurus nirnorma niretika nirkompeten ditambah takut youtuber mending urus public key infrastructure mulyono susupan cina koruptor sedunia polisipembunuh resetindonesia dprbebannegara,judol,PER,249
238,ancaman judol diurus nirnorma niretika nirkompeten ditambah takut youtuber mending urus public key infrastructure mulyono susupan cina koruptor sedunia polisipembunuh resetindonesia dprbebannegara,nirnorma niretika nirkompeten,PER,249
239,kasih inspirasi desain nailart menggaruk muka pemerintah kuku slay pakee terinspirasi muah anjing pemerintah kelakuannya huft resetindonesia,nailart,PER,250
240,hasil pengeluaran toto macau sore rabu result selamat pemenang siapwd resetindonesia bbcprovokator pondphuwinfancon,toto macau,ORG,251
246,beli a lot of jokowis white money polisipembunuh resetindonesia,jokowi,PER,257
249,netanyahu united komisaris tambang raja ampat polisipembunuh resetindonesia,netanyahu united,PER,260
253,asbabunnuzul wastafel tendangan meja bundar aceh resetindonesia,asbabunnuzul,PER,264
255,dunia bersuara jakarta dunia muncul resetindonesia ytta paham sesuai agenda2030 with effect from greatreset influencer disebar acting dimainkan pro rakyat dimunculkan hero issue asing memecah scripted,ytta,PER,266
267,hasil pengeluaran toto cambodia rabu result selamat pemenang siapwd resetindonesia bbcprovokator pondphuwinfancon,toto cambodia,ORG,278
267,hasil pengeluaran toto cambodia rabu result selamat pemenang siapwd resetindonesia bbcprovokator pondphuwinfancon,resetindonesia,ORG,278
278,mute tekarok teman musuh terbesar kiss partai socmed mute lihat ramai polisipembunuh dprbebannegara resetindonesia,mute,PER,290
278,mute tekarok teman musuh terbesar kiss partai socmed mute lihat ramai polisipembunuh dprbebannegara resetindonesia,mute,PER,290
279,phantasy tour about to throw up nikel beroperasi news resetindonesia,news resetindonesia,ORG,291
281,menyangka sedalam tni parcok cabang idf indonesia resetindonesia polisipembunuh,parcok cabang idf indonesia resetindonesia polisi,ORG,293
288,keponakan luhut menyerang sisi berani nyinggu geng solo berkalikali percaya polisipembunuh resetindonesia,luhut,PER,301
294,bantu personal signature akun kelock anjing mencari bahan esai resetindonesia kampret telegrahic transfer,kelock,PER,308
307,pra pesan resetindonesia ekspedisi karya yusuf priambodo tanggal sept harga khusus pemesanan via pesan langsung commanding officer shopee mumpung voucher,yusuf priambodo,PER,322
308,pra pesan resetindonesia karya yusuf priambodo tanggal sept harga khusus pemesanan via pesan langsung commanding officer shopee mumpung voucher,yusuf priambodo,PER,323
315,usut negara krisis kemanusiaan ekonomi anggap remeh resetindonesia noviralnojustice,noviralnojustice,PER,330
319,resetindonesia maksudnya uud amandemen prabowo,prabowo,PER,334
324,duet maut mulyono ngutangkhamun polisipembunuh resetindonesia,mulyono,PER,340
329,prabowo membuktikan prinsip dasar law attraction attract resetindonesia,prabowo,PER,345
335,ternaknya timothy ronald polisipembunuh resetindonesia belajar crypto orang,timothy ronald polisi,PER,351
347,hasil pengeluaran toto cambodia selasa result selamat pemenang siapwd resetindonesia bbcprovokator pondphuwinfancon,toto cambodia,ORG,366
351,buka rekening bisnis singapura ribet proses daring selesai diskon aman cepat resmi bisnisindonesia resetindonesia startupid umkm ekspor investasi singaporebusiness,bisnisindonesia resetindonesia,ORG,370
352,andre gaktaudiri buzzer pemerintah never forget polisimembunuh resetindonesia,andre gaktau,PER,371
353,lisa ikutan tuntutan hijau pink resetindonesia,lisa,PER,372
356,menkeu buruk sri mulyani srimulyono10th resetindonesia,sri mulyani srimulyono10,PER,375
357,menkeu pecat sri mulyani sayang mrpresident kanan cek komennya affan kurniawan kiri buruk cek komennya negara mendengar rakyatnya resetindonesia indonesia sinner,sri mulyani,PER,377
357,menkeu pecat sri mulyani sayang mrpresident kanan cek komennya affan kurniawan kiri buruk cek komennya negara mendengar rakyatnya resetindonesia indonesia sinner,affan kurniawan,PER,377
361,netanyahu united liberal oportunis penjilat kekuasaan polisipembunuh resetindonesia dprbebannegara,netanyahu,PER,381
366,threads feed anak menteri keuangan menggantikan smi absurd dibanding stories instagram kehapus anak menkeu pro resetindonesia amplifier percaya black swan theory marah agustus brimob melindas gojek affan kurniawan,smi,PER,388
366,threads feed anak menteri keuangan menggantikan smi absurd dibanding stories instagram kehapus anak menkeu pro resetindonesia amplifier percaya black swan theory marah agustus brimob melindas gojek affan kurniawan,gojek,PER,388
366,threads feed anak menteri keuangan menggantikan smi absurd dibanding stories instagram kehapus anak menkeu pro resetindonesia amplifier percaya black swan theory marah agustus brimob melindas gojek affan kurniawan,affan kurniawan,PER,388
370,bijimana polapola otoritarian soeharto dihidupkan dibawa negara resetindonesia,soeharto,PER,392
372,respon hug paralytic pengelola administrator on forum network etc akun andaanda resetindonesia,hug paralytic,PER,394
379,reshuffle pergantian pemain resetindonesia,resetindonesia,ORG,403
380,negara karam orang pintar terpakai negeri penjilat kongkalikong penguasalah berjaya dinegeri resetindonesia dprmanafungsikontrolmu indonesiagelap indonesiagelap resuflekabinet,resuflekabinet,ORG,404
386,kakak lipa mendukung gerakan resetindonesia,lipa,PER,412
387,hasil pengeluaran singapore senin result selamat pemenang siapwd resetindonesia bbcprovokator pondphuwinfanco,resetindonesia bbcprovokator,ORG,413
387,hasil pengeluaran singapore senin result selamat pemenang siapwd resetindonesia bbcprovokator pondphuwinfanco,pondphuwinfanco,PER,413
389,prapesan patjarboekoe memesan resetindonesia toko a lot of indi kesayangan patjarmin mutakhirkan daftar toko bukunya,patjarboekoe,PER,416
389,prapesan patjarboekoe memesan resetindonesia toko a lot of indi kesayangan patjarmin mutakhirkan daftar toko bukunya,patjarmin,PER,416
390,hey you demo teman biar diganti bukti demo kemarin tersangkanya nadiem polisipembunuhrakyat resetindonesia dprbebannegara,nadiem polisi,PER,417
396,reshuffle kabinet jatuh senin neptu sifat neptu titisan darah biru hatihati suka kemewahan makna reshuffle pesan tersirat prabowo mboh resident advisor negarane tep bajingan resetindonesia,prabowo,PER,423
396,reshuffle kabinet jatuh senin neptu sifat neptu titisan darah biru hatihati suka kemewahan makna reshuffle pesan tersirat prabowo mboh resident advisor negarane tep bajingan resetindonesia,##etindonesia,ORG,423
403,sekolah blanked bersih selamatkan anak bangsa rakyat bersuara wakil rakyat mendengar grup kajian imgitb titikikat resetindonesia,grup kajian imgitb titikikat resetindonesia,ORG,430
404,yasudah turunin syarat pelamar kerja administrator on forum network etc s1 m3mbat4s1 hugs and kisses warg4 negar4 resetindonesia,yasudah,PER,431
407,hasil pengeluaran sydney lotto senin result selamat pemenang siapwd resetindonesia bbcprovokator pondphuwinfanco,pondphuwinfanco,PER,434
409,hasil pengeluaran bullseye senin result selamat pemenang siapwd resetindonesia bbcprovokator pondphuwinfancon,resetindonesia,ORG,436
412,cantiknya arah demo dibelokkan degradasi prabroro usaha menempelkan citra pelanggar ham jualan wakilnya foto bareng ojol sembako gabung siskamling dsb framing resetindonesia,prabroro,PER,440
425,setuju pendapat kakak bivitri tuntutan ribut fokus inti save energy tujuan resetindonesia,bivitri,PER,453
428,information pre order a lot of a lot of reset indonesia karya farid gaban dandhy laksono yusuf priambodo benaya harobu kesaksian generasi jurnalis perjalanan berkeliling indonesia resetindonesia,farid gaban,PER,457
428,information pre order a lot of a lot of reset indonesia karya farid gaban dandhy laksono yusuf priambodo benaya harobu kesaksian generasi jurnalis perjalanan berkeliling indonesia resetindonesia,dandhy laksono yusuf priambodo,PER,457
428,information pre order a lot of a lot of reset indonesia karya farid gaban dandhy laksono yusuf priambodo benaya harobu kesaksian generasi jurnalis perjalanan berkeliling indonesia resetindonesia,benaya harobu,PER,457
434,ngapainsi honor kali peningkatan fungsi resetindonesia,resetindonesia,ORG,463
442,laporan tempo dalang kerusuhan demo resetindonesia,tempo,ORG,471
446,obat ketakutan mujarab melawan munir said thalib resetindonesia septemberhitam,munir said thalib,PER,476
450,bilang working at home protesnya diemdiem klean perang istilahnya perang dingin pertempuran menimbulkan luka teman isi ulang sorry if already posted resetindonesia resetindonesia,resetindonesia resetindonesia,ORG,480
457,salma salsabil kemarin panggung pestapora bersuara perlawanan umur perlawanan resetindonesia,salma salsabil,PER,488
458,batas waktu perjuangan selesai keadilan orang meninggal hilang lukaluka warga ditangkap data ylbhi kontras kawal resetindonesia indonesiaberbenah,ylbhi,ORG,489
464,ibuprofen kerudung pink kemarin merepresentasikan keberanian warna pink stres mewakili ibuprofen capekjadiwni resetindonesia,capekjadiwni,PER,495
467,garis pasca kerusuhan degradasi prabroro usaha menyematkan citra pelanggar ham naiknya citra fufufafa foto foto ojol sembako roadshow siskamling dsb no offence debate resetindonesia,prabroro,PER,498
467,garis pasca kerusuhan degradasi prabroro usaha menyematkan citra pelanggar ham naiknya citra fufufafa foto foto ojol sembako roadshow siskamling dsb no offence debate resetindonesia,fufufafa,PER,498
470,alasan negara hutang ibuprofen sri presiden wapres institusi institusi pemerintah disalahin diperas rakyatnya resetindonesia,sri,PER,502
478,kelanjutan resetindonesia wait,wait,PER,510
480,resetindonesia teknologi maju mikir hidup desa pikirannya kritis pemerataan pendidikan pejabat kasihan amplifier malu kualitas sdm masyarakat,resetindonesia,ORG,512
481,izin rragh anaxagoras rragh resetindonesia,rragh anaxagoras,PER,513
485,peringatan dibunuhnya munir operasi intelijen badan intelijen negara buy it now indonesiagelap resetindonesia ylbhi,munir,PER,517
488,nadiem makarim pusaran korupsi laptop chromebook tukang kupas perkara resetindonesia indonesiacemas,nadiem makarim,PER,520
488,nadiem makarim pusaran korupsi laptop chromebook tukang kupas perkara resetindonesia indonesiacemas,resetindonesia indonesiacemas,ORG,520
490,dokumentasi korea bergerak longmarch aksi damai panggung suara rakyat bertemu mentor terhormat kakak khai tawa berlebihan resetindonesia,kakak khai,PER,522
491,bongkar reformasi total keuangan lembaga resetindonesia,resetindonesia,ORG,523
494,naran dibungkam victor tiva antekanteknya dihilangkan krailert enggan melawan trin berusaha dibutakan tanwa memilih diam shineep6 resetindonesia acab,naran,PER,526
494,naran dibungkam victor tiva antekanteknya dihilangkan krailert enggan melawan trin berusaha dibutakan tanwa memilih diam shineep6 resetindonesia acab,victor tiva,PER,526
494,naran dibungkam victor tiva antekanteknya dihilangkan krailert enggan melawan trin berusaha dibutakan tanwa memilih diam shineep6 resetindonesia acab,krailert,PER,526
494,naran dibungkam victor tiva antekanteknya dihilangkan krailert enggan melawan trin berusaha dibutakan tanwa memilih diam shineep6 resetindonesia acab,trin,PER,526
494,naran dibungkam victor tiva antekanteknya dihilangkan krailert enggan melawan trin berusaha dibutakan tanwa memilih diam shineep6 resetindonesia acab,tanwa,PER,526
497,kenyataan memiliki trin krailert massa ironi dasarnya hugs and kisses hidup aman nyaman hugs and kisses bangsa shineep6 resetindonesia acab,trin krailert,PER,529
498,dilindungi dalih pelanggaran ham berat deretan nama korban jiwa tersebar manamana anteng duduk menteri kabinet presiden shineep6 resetindonesia acab,resetindonesia,PER,530
502,hihihi punyaku diterimaa cantik thankyou much tementemen mengadakan alright donation berkarya bersuaraa artist indonesia artistbersuara resetindonesia,indonesia artistbersuara resetindonesia,ORG,535
505,hitam resetindonesia septemberhitam munir arekgerak illustrator pengarang serabutan,munir arekgerak,PER,538
512,hasil pengeluaran toto cambodia minggu result selamat pemenang siapwd resetindonesia bbcprovokator pondphuwinfancon,toto cambodia,ORG,546
513,oiyaa postcard alright exhibition rumpun kokokita tokyo diselenggarakan teman teman just playing tolong visit resetindonesia artistbersuara,resetindonesia artistbersuara,ORG,547
514,gotta run pemerintah resetindonesia,gotta,PER,548
521,negeri speak tunjukkan suara indonesia punyaku fellow indonesian teman overseas hey you continue speak resetindonesia indonesiaberbenah bethevoice diasporari diaspora indonesia tanahair berdoauntukindonesia,bethevoice,PER,555
535,hastag resetindonesia permulaan mengajak warga indonesia amerika serikat berkumpul membangun jembatan warga indonesia sistemik struktural diselesaikan keseriusan keterbukaan,hastag resetindonesia,ORG,569
538,bahasa jawanya kegeden ampyak gongnya gede resetindonesia implementasinya pengecut akar dasar kerusakan jokowi anaknya kkn representasi reset dibahas potongan gaji potong kepalanya,jokowi,PER,572
544,majikan mulyono occrp polisipembunuh resetindonesia dprbebanrakyat,mulyono,PER,578
553,kejadian pestapora pemerintah tidur nyenyak hey you rapatkan suara fokus utama tuntutan tagih resetindonesia acab1312 bubarkandpr,resetindonesia,ORG,587
554,resetindonesia kawal tuntutan rakyat,resetindonesia,ORG,588
555,luhut tito pratikno boyfriend over shoulder rakyat indonesia waras polisipembunuh resetindonesia dprbebanrakyat,luhut tito pratikno,PER,589
561,gift sederhana semoga kenang kenangan orang hadir ketemu resetindonesia sudutrajutspecialchallenge artistbersuara,resetindonesia,ORG,595
562,tahi jokowi diadili langsung pancung resetindonesia polisipembunuh dprbebannegara ignasius jonan dirut penyelamat kai nolak kereta cepat langsung dipecat,jokowi,PER,596
562,tahi jokowi diadili langsung pancung resetindonesia polisipembunuh dprbebannegara ignasius jonan dirut penyelamat kai nolak kereta cepat langsung dipecat,ignasius jonan,PER,596
562,tahi jokowi diadili langsung pancung resetindonesia polisipembunuh dprbebannegara ignasius jonan dirut penyelamat kai nolak kereta cepat langsung dipecat,penyelamat kai,ORG,596
565,jauhjauh timur lihat idf indonesia diwakilkan parcok polisipembunuh resetindonesia dprbebannegara,dpr,PER,599
565,jauhjauh timur lihat idf indonesia diwakilkan parcok polisipembunuh resetindonesia dprbebannegara,##bebannegara,PER,599
567,dosa jariyah mulyono pemuka pemerintah termul membela dead on arrival mengikuti dead on arrival nabi musa firaun polisipembunuh resetindonesia dprbebannegara,mulyono,PER,601
571,bengong bengong tetiba kepikiran administrasi kebentuk zaman rasulullah khalifah umar buy it now abdul azis dibikin keren harun arrasyid rangkul paralytic ulama mensejahterakan ulama hey you hey you pemerintahan mengikuti rasululah resetindonesia,abdul azis,PER,606
571,bengong bengong tetiba kepikiran administrasi kebentuk zaman rasulullah khalifah umar buy it now abdul azis dibikin keren harun arrasyid rangkul paralytic ulama mensejahterakan ulama hey you hey you pemerintahan mengikuti rasululah resetindonesia,harun arrasyid,PER,606
577,berduka indonesia alias resetindonesia anjay,anjay,PER,612
589,terima kasih kakak mengadakan leot pinkeu cantik terimakasih kakak jaden bikin leot secantik semoga lancar rezeki indonesiagelap resetindonesia prayforindonesia,##gelap resetindonesia prayforindonesia,ORG,624
593,tercyduk menteri kehutanan raja juli main domino tersangka pembalakan liar resetindonesia,tercyd,PER,628
593,tercyduk menteri kehutanan raja juli main domino tersangka pembalakan liar resetindonesia,raja juli,PER,628
593,tercyduk menteri kehutanan raja juli main domino tersangka pembalakan liar resetindonesia,domino,PER,628
598,timaacii kakak unknown person kakak zen semoga negera lekas membaik aspirasi rakyat didengar digantikan orangorang kompeten resetindonesia indonesiagelap,timaaci,PER,634
599,think resetindonesia nuance kena menyasar prinsip fundamental terapkan bangunan roboh ngecat tembok benerin ubin lemah struktur utamanya,think resetindonesia,ORG,635
599,think resetindonesia nuance kena menyasar prinsip fundamental terapkan bangunan roboh ngecat tembok benerin ubin lemah struktur utamanya,nuance,PER,635
602,situasi respon presiden prabowo demonstrasi gerakan demokratis menuntut perbaikan kondisi rakyat dilahirkan resetindonesia,prabowo,PER,638
608,buzzer parcok parjo pemerentah media bayaran orang demo bakar fasum disisi orang pagi demo baca tarot fitnah kejam pembunuhan nebar fitnah ganjarannya resetindonesia,parcok parjo,PER,644
608,buzzer parcok parjo pemerentah media bayaran orang demo bakar fasum disisi orang pagi demo baca tarot fitnah kejam pembunuhan nebar fitnah ganjarannya resetindonesia,resetindonesia,ORG,644
611,lucky charm memanggil sunu resetindonesia,lucky charm,PER,648
612,corona makan mpekpek huruhara pempek waras meng lt3 suka pempek much resetindonesia,corona,PER,649
613,terima kasih giveawaynya kakakkakak terima kasih kakak layout cantiknya berduka caught in the act matinya demokrasi semoga bebas indonesiagelap resetindonesia prayforindonesia,kakakkakak,PER,650
615,hasil pengeluaran bullseye sabtu result selamat pemenang siapwd resetindonesia bbcprovokator pondphuwinfancon,resetindonesia,ORG,652
616,mulyono kontol dipenjara resetindonesia,mulyono kont,PER,653
617,man dididik pakai hati menyadar mengomong polisipembunuh resetindonesia dprbebannegara,man,PER,654
618,shout kakak jajanin layout kokomie cantikku iniieh terimakaci kakak jaden semoga rezeki lancar sehat lt3 indonesiagelap resetindonesia prayforindonesia,jajanin,PER,655
618,shout kakak jajanin layout kokomie cantikku iniieh terimakaci kakak jaden semoga rezeki lancar sehat lt3 indonesiagelap resetindonesia prayforindonesia,lt3 indonesiagelap resetindonesia prayforindonesia,ORG,655
619,resetindonesia fokus bayangkan abai memperjuangkan hidup abai ibuprofen memilih neraka hidup negeri jeritan dipaksa bertahan ketidakadilan sistematis,abai,PER,656
619,resetindonesia fokus bayangkan abai memperjuangkan hidup abai ibuprofen memilih neraka hidup negeri jeritan dipaksa bertahan ketidakadilan sistematis,abai,PER,656
620,resetindonesia peace jersey juara,resetindonesia peace jersey,ORG,657
